"logins","type","repo","avatar"
"actions-user","code","blueprints, cfr, cleanepi, climateR0, ColOpenData, epichains, epidemics, epiparameter, epiparameterDashboard, epiparameterDB, episoap, epiverse, etstats, finalsize, hex-stickers, iraca, linelist, llm-guidance, numberize, packagetemplate, quickfit, readepi, safeframe, scenarios, serofoi, showcasedata, simulist, sivirep, superspreading, tracetheme, vaccineff","https://avatars.githubusercontent.com/u/65916846?v=4"
"adamkucharski","code, issue_authors",".github, cfr, climateR0, epi-training-kit, epichains, epidemics, epiparameter, episoap, epiverse-trace.github.io, epiversetheme, finalsize, howto, llm-guidance, quickfit, readepi, scenarios, serofoi, Severity_methods_assessment, simulist, sivirep, superspreading, tutorials, tutorials-early, tutorials-late, tutorials-middle","https://avatars.githubusercontent.com/u/8329046?v=4"
"alejandrocs98","issue_authors","epiCo","https://avatars.githubusercontent.com/u/87541159?u=af9888be17ba9616ae9c9d218e693dc39e1513cc&v=4"
"alxsrobert","code","epidemics","https://avatars.githubusercontent.com/u/12156818?v=4"
"amanda-minter","code, issue_authors","epidemics, tutorials, tutorials-early, tutorials-late, tutorials-middle","https://avatars.githubusercontent.com/u/19464496?u=8c2e4c4aeaace1d0a24293ff1a7c942d8a0ca4ec&v=4"
"andresmore","code","sivirep","https://avatars.githubusercontent.com/u/2692503?v=4"
"annacarnegie","code, issue_contributors",".github, blueprints, linelist","https://avatars.githubusercontent.com/u/97619284?v=4"
"AntonioAlvaradoC","issue_authors","sivirep","https://avatars.githubusercontent.com/u/108705534?v=4"
"aspina7","issue_authors","linelist","https://avatars.githubusercontent.com/u/18347047?u=68bf777c871eca4afe43aefb087139bec11ccd8e&v=4"
"athowes","issue_contributors","epiparameter","https://avatars.githubusercontent.com/u/29818116?u=80ffd05679781899c66d5d9bb629f17cbd93fd43&v=4"
"avallecam","code, issue_authors",".github, blueprints, cfr, cleanepi, epi-training-kit, epichains, epidemics, epimodelac, epiparameter, epishowcase, episoap, epitkit, epiverse_demos, epiverse-trace.github.io, epiverselearner, epiversetheme, etdev, finalsize, gam-summit, hex-stickers, howto, lessons, linelist, packagetemplate, personas, readepi, research-compendium, safeframe, serofoi, simulist, superspreading, tutorials, tutorials-early, tutorials-late, tutorials-middle, tutorials-middle-es, vaccineff","https://avatars.githubusercontent.com/u/21230390?v=4"
"avinashladdha","issue_authors","blueprints, readepi","https://avatars.githubusercontent.com/u/63897300?u=d687a1b154a2d6627d199f8b14fb5a29a70a2e3b&v=4"
"bahadzie","code, issue_authors, issue_contributors","cleanepi, epidemics, etdev, linelist, numberize, packagetemplate, readepi","https://avatars.githubusercontent.com/u/41001537?u=93698de2b5c3e232f7bdf78ddae9be85ffcdd0cb&v=4"
